cgpa,Branch,Coding Languages you are proficient in:,English Written:,English Spoken:,Quantitative Aptitude:,Number of Projects:,Number of Publications/Research Paper(If Any):,Any Extra/Other Skills:,Company Name :,Company Name(If placed and profile),Internship Experience (The number of internship  and company name):,Number of Backlogs,Events Organised:,numberofcodinglanguage,numberproject,numberextraskill,numberinternship,numberevents,numberbranch,numberenglishwritten,numberenglishspoken,numberquantativeaptitude,numbercompany
7.26,CSE,"C;C++;JAVA;Php, swift",Good,Good,Average,2,0,Android;Web Development;Sales;Management skills;Ios,unplaced,,"1, Mirrors",0,,5,2,5,1,0,2,3,2,2,2
6.87,CSE,C;C++;JAVA;R,Very Good,Very Good,Very Good,2,0,Big Data,unplaced,,0,0,,4,2,1,0,0,2,4,4,4,2
8.6,CSE,C;JAVA;Python;Go,Very Good,Excellent,Good,3,0,Machine Learning;Blockchain,placed,Robert Bosch,1 Purple,0,"KIIT Koders, Luminaire",4,3,2,1,2,2,4,5,3,1
7.67,CSE,C;C++;JAVA;Python,Good,Good,Good,2,0,Android;Web Development;Big Data;Management skills,unplaced,"Mil jaegi jldi, chiel maar tu. ",Nil,0,2,4,2,4,0,2,2,3,3,3,2
7.03,IT,C;JAVA;Python,Excellent,Excellent,Average,2,0,Big Data;Excel sheet and tableau,unplaced,,1,0,,3,2,3,1,0,5,5,2,2,2
8.84,CSE,C;JAVA;R,Very Good,Good,Very Good,2,0,Web Development;Big Data,unplaced,,1. Reliance Jio Infocomm Limited ,0,0,3,2,2,1,0,2,4,3,4,2
7.85,IT,C;C++;JAVA;Python,Average,Average,Average,4,0,Android;Web Development,unplaced,,1,0,"Kritarth, kiit fest, chimera",4,4,2,1,3,5,2,2,2,2
7.9,CSE,JAVA;JavaScript,Very Good,Very Good,Good,4,0,Web Development;IoT,placed,Technical Analyst (Deloitte),,0,0,2,4,2,0,0,2,4,4,3,1
8.91,IT,C;C++;JAVA;Python,Good,Good,Good,1,0,"Android;Matlab;jsp, js",placed,High Radius - Associate Software Engineer,1 - NIT Rourkela (Research Internship),0,None,4,1,4,1,0,5,3,3,3,1
8.98,CSE,C;C++;JAVA;Python,Very Good,Very Good,Very Good,2,0,Machine Learning;Web Development;Big Data,placed,Deloitte Risk and advisory-analyst,0,0,"kiitfest,kiitmun,karunya,kritagya",4,2,3,0,4,2,4,4,4,1
8.72,IT,"C;C++;JAVA;Python;NodeJS, Angular",Very Good,Very Good,Good,2,0,Android;Web Development;Hacking/Pentesting ,unplaced,,1 - GiBots,0,5,6,2,4,1,5,5,4,4,3,2
8.41,CSE,C;JAVA;Python,Average,Average,Good,5,0,Machine Learning;Android,placed,Highradius associate software developer,Na,0,6,3,5,2,0,6,2,2,2,3,1
7.3,CSE,C;Python,Excellent,Excellent,Good,2,0,Sales;Management skills,unplaced,,,0,,2,2,2,0,0,2,5,5,3,2
7.37,MECH,C;C++,Very Good,Good,Very Good,2,0,"Autocad;Matlab;SolidWorks, ANSYS, CATIA",unplaced,,"1, Damodar Valley Corporation",0,1,2,2,5,1,1,6,4,3,4,2
7.37,MECH,C;C++,Very Good,Good,Very Good,2,0,"Autocad;Matlab;SolidWorks, ANSYS, CATIA",unplaced,,"1, Damodar Valley Corporation",0,1,2,2,5,1,1,6,4,3,4,2
